epoch,train_loss,val_loss,train_acc,val_acc
0,0.6544965744018555,0.635685282094138,0.6288742280354465,0.6283035721097674
1,0.6254817392269191,0.6149252653121948,0.6287742139649217,0.6283035721097674
2,0.6068327943774036,0.5965450729642595,0.6355663953036288,0.6624702385493687
3,0.5901310278551422,0.5805686678205217,0.6740717995775877,0.6849107163293021
4,0.5749117779905779,0.5659692185265678,0.6924217434695167,0.6937202385493687
5,0.5601493100180243,0.5515490923609052,0.705846434614084,0.7039880956922259
6,0.5444710100654268,0.5360045918396541,0.7182955503463745,0.7206250020435878
7,0.5265543814558182,0.5179962686129979,0.7326115946700104,0.7358035734721593
8,0.5052443512599833,0.4970444347177233,0.7518177990495724,0.7585714306150164
9,0.48200844017258526,0.4755141649927412,0.7743999158378935,0.7835714306150164
10,0.4600494522682942,0.45553094914981296,0.7947483858052832,0.8016666684831891
11,0.44032835603630455,0.43824646302631926,0.8086836749619811,0.8116071428571429
12,0.4235429799034648,0.42243361217635017,0.8199185850846507,0.8227678571428572
13,0.40856420256360604,0.40862165348870416,0.8283443290821827,0.8339285714285715
14,0.3959251677902946,0.3980428614786693,0.8351803762199235,0.8370535714285714
